Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Order Quantity,Sub Total,Discount%,Discount $,Order Total,Shipping Cost,Total
5743-1,15/1/11,Katherine Nockton,"Crown Complex,Southbank",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Laser DVD-RAM discs,Technology,Small Pack,Regular Air,2015-01-12,20.18,35.41,1,35.41,0,0.00,35.41,1.99,37.40
5852-1,15/4/10,Katrina Edelman,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Corporate,Preston Senome,Critical,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Regular Air,2015-04-11,1.53,2.78,19,52.82,6,3.17,52.76,1.34,54.10
5740-1,15/1/9,Katrina Willman,"120 Hardware St,Melbourne",Melbourne,VIC,Consumer,Yvette Biti,High,Assorted Color Push Pins,Office Supplies,Wrap Bag,Regular Air,2015-01-11,0.87,1.81,9,16.29,9,1.47,16.20,0.75,16.95
5204-1,13/8/9,Kean Takahito,"21 Wentworth St,Parramatta",Sydney,NSW,Home Office,Aanya Zhang,Not Specified,Binding Machine Supplies,Office Supplies,Small Box,Regular Air,2013-08-10,18.38,29.17,8,233.36,2,4.67,233.34,6.27,239.61
5606-1,14/9/3,Kean Thornton,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Low,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Wrap Bag,Regular Air,2014-09-10,2.98,5.84,22,128.48,10,12.85,128.38,0.83,129.21
6355-1,16/7/17,Kean Thornton,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Not Specified,Steady Pocket Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2016-07-18,0.93,1.60,39,62.40,10,6.24,62.30,1.29,63.59
6572-1,17/1/27,Kean Thornton,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Critical,Artisan Hole Reinforcements,Office Supplies,Small Box,Regular Air,2017-01-28,3.99,6.23,25,155.75,7,10.90,155.68,6.97,162.65
5824-1,15/3/16,Keith Dawkins,"402 Argyle St,Moss Vale",Sydney,NSW,Home Office,Natasha Song,Not Specified,Emerson Stylus 1520 Color Inkjet Printer,Technology,Jumbo Drum,Delivery Truck,2015-03-17,315.61,500.97,3,1502.91,6,90.17,1502.85,69.30,1572.15
5967-1,15/7/9,Keith Dawkins,"402 Argyle St,Moss Vale",Sydney,NSW,Home Office,Natasha Song,Not Specified,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,Large Box,Regular Air,2015-07-10,56.16,136.98,7,958.86,2,19.18,958.84,24.49,983.33
5570-1,14/7/30,Keith Herrera,"120 Hardware St,Melbourne",Melbourne,VIC,Small Business,Yvette Biti,High,Artisan File Folder Labels,Office Supplies,Small Box,Regular Air,2014-07-31,1.84,2.88,11,31.68,2,0.63,31.66,5.33,36.99
5470-1,14/4/17,Kelly Collister,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Consumer,Yvette Biti,High,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2014-04-19,4.59,7.28,11,80.08,7,5.61,80.01,11.15,91.16
5667-1,14/10/22,Kelly Collister,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Consumer,Yvette Biti,High,3Max Organizer Strips,Office Supplies,Small Box,Regular Air,2014-10-23,3.40,5.40,22,118.80,10,11.88,118.70,7.78,126.48
5109-1,13/5/28,Kelly Lampkin,"310 Wattle St,Ultimo",Sydney,NSW,Corporate,Aanya Zhang,Low,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Wrap Bag,Regular Air,2013-06-01,2.29,3.58,38,136.04,6,8.16,135.98,1.63,137.61
6095-1,15/10/21,Kelly Lampkin,"310 Wattle St,Ultimo",Sydney,NSW,Home Office,Aanya Zhang,Medium,OIC Bulk Pack Metal Binder Clips,Office Supplies,Wrap Bag,Express Air,2015-10-23,2.13,3.49,3,10.47,1,0.10,10.46,0.76,11.22
5060-1,13/4/30,Kelly Williams,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Medium,Adesso Programmable 142-Key Keyboard,Technology,Small Box,Express Air,2013-05-01,32.02,152.48,16,2439.68,10,243.97,2439.58,4.00,2443.58
6038-1,15/8/26,Kelly Williams,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Medium,Airmail Envelopes,Office Supplies,Small Box,Regular Air,2015-08-28,52.04,83.93,3,251.79,0,0.00,251.79,19.99,271.78
6389-1,16/8/24,Kelly Williams,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Medium,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Small Box,Regular Air,2016-08-25,16.85,27.18,50,1359.00,2,27.18,1358.98,8.23,1367.21
6480-1,16/11/8,Ken Black,"Westfield Sydney,Sydney",Sydney,NSW,Consumer,Natasha Song,Low,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,Small Box,Regular Air,2016-11-13,8.92,29.74,31,921.94,0,0.00,921.94,6.64,928.58
5500-1,14/5/29,Ken Dana,"73 York St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Low,Adesso Programmable 142-Key Keyboard,Technology,Small Box,Regular Air,2014-06-02,32.02,152.48,49,7471.52,3,224.15,7471.49,4.00,7475.49
6157-1,15/12/28,Ken Dana,"73 York St,Sydney",Sydney,NSW,Small Business,Tina Carlton,Critical,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,2015-12-30,1.18,1.88,1,1.88,9,0.17,1.79,1.49,3.28
6569-1,17/1/24,Ken Heidel,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,Not Specified,Binder Posts,Office Supplies,Small Box,Regular Air,2017-01-26,3.50,5.74,46,264.04,5,13.20,263.99,5.01,269.00
5392-1,14/1/27,Ken Lonsdale,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,High,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2014-01-27,5.33,8.60,4,34.40,4,1.38,34.36,6.19,40.55
6525-1,16/12/10,Ken Lonsdale,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,2016-12-14,2.39,4.26,44,187.44,1,1.87,187.43,1.20,188.63
5294-1,13/11/1,Kristina Nunn,"22 Civic Rd,Auburn",Sydney,NSW,Consumer,Mihael Khan,Critical,"Laser Neon Mac Format Diskettes, 10/Pack",Technology,Small Pack,Regular Air,2013-11-02,1.87,8.12,16,129.92,3,3.90,129.89,2.83,132.72
6392-1,16/9/5,Kristina Nunn,"22 Civic Rd,Auburn",Sydney,NSW,Consumer,Mihael Khan,Medium,Smiths Bulldog Clip,Office Supplies,Wrap Bag,Regular Air,2016-09-07,2.31,3.78,38,143.64,3,4.31,143.61,0.71,144.32
6048-1,15/8/31,Larry Hughes,"541 Church St,Richmond",Melbourne,VIC,Home Office,Yvette Biti,Critical,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Small Box,Regular Air,2015-09-01,4.46,10.89,50,544.50,9,49.01,544.41,4.50,548.91
5330-1,13/12/8,Larry Tron,"4A Lyons St,Strathfield",Sydney,NSW,Home Office,Tina Carlton,Medium,Steady Pocket Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2013-12-08,0.93,1.60,25,40.00,10,4.00,39.90,1.29,41.19
5965-1,15/7/5,Larry Tron,"4A Lyons St,Strathfield",Sydney,NSW,Home Office,Tina Carlton,Critical,1726 Digital Answering Machine,Technology,Medium Box,Regular Air,2015-07-07,8.82,20.99,49,1028.51,6,61.71,1028.45,4.81,1033.26
5052-1,13/4/20,Laura Armstrong,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Not Specified,EcoTones Memo Sheets,Office Supplies,Wrap Bag,Regular Air,2013-04-22,2.52,4.00,31,124.00,1,1.24,123.99,1.30,125.29
5980-1,15/7/19,Laura Armstrong,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Medium,Binder Posts,Office Supplies,Small Box,Regular Air,2015-07-20,3.50,5.74,41,235.34,8,18.83,235.26,5.01,240.27
6061-1,15/9/8,Laura Armstrong,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,High,Bagged Rubber Bands,Office Supplies,Wrap Bag,Regular Air,2015-09-10,0.24,1.26,31,39.06,6,2.34,39.00,0.70,39.70
6423-1,16/9/30,Laura Armstrong,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,High,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2016-10-02,4.59,7.28,50,364.00,1,3.64,363.99,11.15,375.14
6502-1,16/11/26,Laurel Elliston,"1 John St,Waterloo",Sydney,NSW,Home Office,Charlie Bui,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2016-11-28,1.84,2.88,6,17.28,6,1.04,17.22,0.99,18.21
6562-1,17/1/19,Laurel Workman,"38/133-145 Castlereagh St,Sydney",Sydney,NSW,Home Office,Natasha Song,Medium,Apex Straight Scissors,Office Supplies,Small Pack,Express Air,2017-01-21,5.19,12.98,10,129.80,5,6.49,129.75,3.14,132.89
5925-1,15/5/31,Lauren Leatherbury,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Home Office,Nicholas Fernandes,Low,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,Small Box,Regular Air,2015-06-05,14.95,34.76,43,1494.68,8,119.57,1494.60,8.22,1502.82
5951-1,15/6/27,Lauren Leatherbury,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Self-Adhesive Ring Binder Labels,Office Supplies,Small Box,Regular Air,2015-06-29,2.18,3.52,1,3.52,4,0.14,3.48,6.83,10.31
6309-1,16/5/27,Lela Donovan,"255 Devonshire St,Surry Hills",Sydney,NSW,Corporate,Aanya Zhang,Not Specified,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2016-05-27,5.33,8.60,1,8.60,6,0.52,8.54,6.19,14.73
5701-1,14/11/30,Lena Creighton,"127 Liverpool St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,High,Alto Memo Cubes,Office Supplies,Wrap Bag,Express Air,2014-12-02,3.32,5.18,9,46.62,9,4.20,46.53,2.04,48.57
6148-1,15/12/19,Lena Creighton,"127 Liverpool St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Critical,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Small Box,Regular Air,2015-12-21,4.46,10.89,30,326.70,8,26.14,326.62,4.50,331.12
6166-1,16/1/9,Lena Creighton,"127 Liverpool St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,High,Steady Liquid Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2016-01-11,3.47,6.68,10,66.80,8,5.34,66.72,1.50,68.22
5432-1,14/2/28,Lena Radford,"4A Lyons St,Strathfield",Sydney,NSW,Small Business,Tina Carlton,Medium,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Wrap Bag,Regular Air,2014-03-01,0.90,2.10,21,44.10,4,1.76,44.06,0.70,44.76
5711-1,14/12/9,Linda Southworth,"359 Crown Street,Surry Hills",Sydney,NSW,Consumer,Phoebe Gour,Medium,Xit Blank Computer Paper,Office Supplies,Small Box,Regular Air,2014-12-11,12.39,19.98,48,959.04,1,9.59,959.03,5.77,964.80
5795-1,15/2/9,Linda Southworth,"359 Crown Street,Surry Hills",Sydney,NSW,Consumer,Phoebe Gour,Low,Alto Memo Cubes,Office Supplies,Wrap Bag,Express Air,2015-02-16,3.32,5.18,11,56.98,6,3.42,56.92,2.04,58.96
6215-1,16/2/26,Linda Southworth,"359 Crown Street,Surry Hills",Sydney,NSW,Consumer,Phoebe Gour,Low,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Wrap Bag,Regular Air,2016-03-04,2.98,5.84,19,110.96,1,1.11,110.95,0.83,111.78
5512-1,14/6/5,Lindsay Castell,"Qantas Domestic Terminal,Mascot",Sydney,NSW,Corporate,Phoebe Gour,Medium,Xit Blank Computer Paper,Office Supplies,Small Box,Regular Air,2014-06-07,12.39,19.98,10,199.80,10,19.98,199.70,5.77,205.47
6134-1,15/12/4,Lindsay Castell,"Qantas Domestic Terminal,Mascot",Sydney,NSW,Small Business,Phoebe Gour,High,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2015-12-05,1.84,2.88,28,80.64,10,8.06,80.54,0.99,81.53
6343-1,16/6/30,Lindsay Castell,"Qantas Domestic Terminal,Mascot",Sydney,NSW,Corporate,Phoebe Gour,High,Bagged Rubber Bands,Office Supplies,Wrap Bag,Regular Air,2016-07-01,0.24,1.26,47,59.22,0,0.00,59.22,0.70,59.92
5677-1,14/11/2,Lindsay Shagiari,"5/250 Old Northern Road ,Castle Hill",Sydney,NSW,Home Office,Nicholas Fernandes,High,Security-Tint Envelopes,Office Supplies,Small Box,Regular Air,2014-11-04,4.89,7.64,12,91.68,2,1.83,91.66,1.39,93.05
6380-1,16/8/24,Lindsay Shagiari,"5/250 Old Northern Road ,Castle Hill",Sydney,NSW,Home Office,Nicholas Fernandes,Low,600 Series Non-Flip,Technology,Small Box,Regular Air,2016-08-24,19.78,45.99,46,2115.54,10,211.55,2115.44,4.99,2120.43
6091-1,15/10/15,Lisa DeCherney,"324A King St,Newtown",Sydney,NSW,Consumer,Mihael Khan,Low,Smiths Paper Clips,Office Supplies,Wrap Bag,Express Air,2015-10-15,1.53,2.47,45,111.15,7,7.78,111.08,1.02,112.10
6091-2,15/10/15,Lisa DeCherney,"324A King St,Newtown",Sydney,NSW,Consumer,Mihael Khan,Low,"Wirebound Message Book, 4 per Page",Office Supplies,Wrap Bag,Regular Air,2015-10-19,3.48,5.43,11,59.73,0,0.00,59.73,0.95,60.68
6538-1,16/12/24,Lisa Hazard,"Cnr Williams Road & Lechlade Ave,South Yarra",Melbourne,VIC,Home Office,Yvette Biti,High,Artisan Binder Labels,Office Supplies,Small Box,Regular Air,2016-12-25,2.45,3.89,3,11.67,0,0.00,11.67,7.01,18.68
5300-1,13/11/5,Liz Carlisle,"797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Phoebe Gour,Critical,Lumi Crayons,Office Supplies,Wrap Bag,Regular Air,2013-11-06,5.22,9.85,27,265.95,10,26.60,265.85,4.82,270.67
6471-1,16/11/2,Liz Carlisle,"797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Phoebe Gour,Critical,Adesso Programmable 142-Key Keyboard,Technology,Small Box,Regular Air,2016-11-03,39.64,152.48,44,6709.12,3,201.27,6709.09,6.50,6715.59
5134-1,13/6/16,Liz MacKendrick,"224A Gertrude St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Low,UGen Ultra Professional Cordless Optical Suite,Technology,Small Box,Regular Air,2013-06-16,156.50,300.97,1,300.97,6,18.06,300.91,7.18,308.09
5932-1,15/6/10,Liz MacKendrick,"224A Gertrude St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Low,Smiths Standard Envelopes,Office Supplies,Small Box,Regular Air,2015-06-14,3.52,5.68,8,45.44,5,2.27,45.39,1.39,46.78
5079-1,13/5/9,Liz Pelletier,"79 Elliott St,Balmain",Sydney,NSW,Home Office,Aanya Zhang,Critical,1726 Digital Answering Machine,Technology,Medium Box,Express Air,2013-05-10,8.82,20.99,8,167.92,9,15.11,167.83,4.81,172.64
5236-1,13/9/9,Liz Price,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2013-09-10,1.94,3.08,24,73.92,4,2.96,73.88,0.99,74.87
5305-1,13/11/15,Liz Price,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,Phoebe Gour,Not Specified,Xit Blank Computer Paper,Office Supplies,Small Box,Regular Air,2013-11-17,12.39,19.98,47,939.06,4,37.56,939.02,5.77,944.79
5643-1,14/10/4,Liz Price,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,Phoebe Gour,Low,Artisan Non-Stick Binders,Office Supplies,Small Box,Express Air,2014-10-11,2.74,4.49,44,197.56,3,5.93,197.53,1.49,199.02
5209-1,13/8/11,Liz Willingham,"60 Commercial Rd,Prahran",Melbourne,VIC,Corporate,Yvette Biti,Low,Binder Clips by OIC,Office Supplies,Wrap Bag,Regular Air,2013-08-13,0.93,1.48,19,28.12,9,2.53,28.03,0.70,28.73
5478-1,14/5/3,Liz Willingham,"60 Commercial Rd,Prahran",Melbourne,VIC,Home Office,Yvette Biti,Low,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Wrap Bag,Regular Air,2014-05-07,1.31,2.84,48,136.32,10,13.63,136.22,0.93,137.15
5402-1,14/2/7,Logan Haushalter,"222 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Low,HFX LaserJet 3310 Copier,Technology,Large Box,Regular Air,2014-02-16,377.99,599.99,48,28799.52,8,2303.96,28799.44,24.49,28823.93
5402-2,14/2/7,Logan Haushalter,"222 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Low,Unpadded Memo Slips,Office Supplies,Wrap Bag,Express Air,2014-02-12,2.59,3.98,11,43.78,10,4.38,43.68,2.97,46.65
6461-1,16/10/28,Logan Haushalter,"222 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Critical,Self-Adhesive Removable Labels,Office Supplies,Small Box,Regular Air,2016-10-30,1.98,3.15,24,75.60,2,1.51,75.58,0.49,76.07
6484-1,16/11/9,Luke Foster,"2-4 College Street, Darlinghurst",Sydney,NSW,Corporate,Nicholas Fernandes,High,Office Shears by Apex,Office Supplies,Small Pack,Regular Air,2016-11-11,0.94,2.08,39,81.12,4,3.24,81.08,2.56,83.64
5108-1,13/5/27,Luke Schmidt,"73 York St,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,UGen Ultra Professional Cordless Optical Suite,Technology,Small Box,Regular Air,2013-05-28,156.50,300.97,14,4213.58,10,421.36,4213.48,7.18,4220.66
5531-1,14/6/22,Luke Weiss,"88 Oxford St,Woollahra",Sydney,NSW,Corporate,Charlie Bui,Not Specified,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,Large Box,Express Air,2014-06-24,56.16,136.98,17,2328.66,0,0.00,2328.66,24.49,2353.15
6063-1,15/9/10,Luke Weiss,"88 Oxford St,Woollahra",Sydney,NSW,Corporate,Charlie Bui,Critical,Colored Envelopes,Office Supplies,Small Box,Express Air,2015-09-11,2.25,3.69,23,84.87,2,1.70,84.85,2.50,87.35
6561-1,17/1/19,Luke Weiss,"88 Oxford St,Woollahra",Sydney,NSW,Corporate,Charlie Bui,Not Specified,1726 Digital Answering Machine,Technology,Medium Box,Regular Air,2017-01-21,8.82,20.99,29,608.71,3,18.26,608.68,4.81,613.49
6002-1,15/7/30,Lycoris Saunders,"501 George St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,High,Artisan 487 Labels,Office Supplies,Small Box,Express Air,2015-07-31,2.29,3.69,48,177.12,10,17.71,177.02,0.50,177.52
6041-1,15/8/27,Lycoris Saunders,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,High,Apex Straight Scissors,Office Supplies,Small Pack,Express Air,2015-08-28,5.19,12.98,42,545.16,5,27.26,545.11,3.14,548.25
6124-1,15/11/20,Lycoris Saunders,"501 George St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,High,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2015-11-22,1.94,3.08,11,33.88,9,3.05,33.79,0.99,34.78
5070-1,13/5/4,Lynn Smith,"61A Bay Road,Wollstonecraft",Sydney,NSW,Corporate,Samantha Chairs,Critical,Steady Liquid Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2013-05-06,3.47,6.68,41,273.88,8,21.91,273.80,1.50,275.30
5917-1,15/5/28,Lynn Smith,"61A Bay Road,Wollstonecraft",Sydney,NSW,Corporate,Samantha Chairs,Not Specified,12 Colored Short Pencils,Office Supplies,Wrap Bag,Express Air,2015-05-29,1.09,2.60,42,109.20,5,5.46,109.15,2.40,111.55
5983-1,15/7/23,Magdelene Morse,"53 Riley Street,Woolloomooloo",Sydney,NSW,Home Office,Tina Carlton,Low,Adesso Programmable 142-Key Keyboard,Technology,Small Box,Regular Air,2015-07-30,32.02,152.48,14,2134.72,3,64.04,2134.69,4.00,2138.69
6225-1,16/3/12,Magdelene Morse,"53 Riley Street,Woolloomooloo",Sydney,NSW,Home Office,Tina Carlton,Medium,Smiths Pushpins,Office Supplies,Wrap Bag,Regular Air,2016-03-12,0.94,1.88,36,67.68,4,2.71,67.64,0.79,68.43
5713-1,14/12/10,Marc Crier,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Low,"Laser Neon Mac Format Diskettes, 10/Pack",Technology,Small Pack,Regular Air,2014-12-12,1.87,8.12,11,89.32,6,5.36,89.26,2.83,92.09
6079-1,15/9/28,Maria Bertelson,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Not Specified,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2015-09-30,3.75,7.08,37,261.96,8,20.96,261.88,2.35,264.23
6170-1,16/1/17,Maria Bertelson,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,Smiths SlimLine Pencil Sharpener,Office Supplies,Small Pack,Regular Air,2016-01-19,4.79,11.97,28,335.16,3,10.05,335.13,5.81,340.94
5569-1,14/7/28,Maria Zettner,"531 King St,Newtown",Sydney,NSW,Corporate,Mihael Khan,Medium,1726 Digital Answering Machine,Technology,Medium Box,Regular Air,2014-07-30,8.82,20.99,9,188.91,8,15.11,188.83,4.81,193.64
6379-1,16/8/23,Maria Zettner,"531 King St,Newtown",Sydney,NSW,Corporate,Mihael Khan,Not Specified,PastelOcean Color Pencil Set,Office Supplies,Wrap Bag,Regular Air,2016-08-25,11.11,19.84,22,436.48,6,26.19,436.42,4.10,440.52
5253-1,13/9/26,Maribeth Dona,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Home Office,Connor Betts,High,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,Small Box,Regular Air,2013-09-28,14.95,34.76,15,521.40,9,46.93,521.31,8.22,529.53
6354-1,16/7/16,Maribeth Dona,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Home Office,Connor Betts,High,Adesso Programmable 142-Key Keyboard,Technology,Small Box,Regular Air,2016-07-18,32.02,152.48,2,304.96,3,9.15,304.93,4.00,308.93
5597-1,14/8/27,Maribeth Yedwab,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Smiths Metal Binder Clips,Office Supplies,Wrap Bag,Express Air,2014-08-28,1.60,2.62,45,117.90,1,1.18,117.89,0.80,118.69
6584-1,17/2/7,Maribeth Yedwab,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Low,Beekin 105-Key Black Keyboard,Technology,Small Box,Regular Air,2017-02-07,6.39,19.98,31,619.38,0,0.00,619.38,4.00,623.38
5244-1,13/9/17,Marina Lichtenstein,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,High,Binder Posts,Office Supplies,Small Box,Regular Air,2013-09-19,3.50,5.74,3,17.22,8,1.38,17.14,5.01,22.15
5572-1,14/7/30,Mark Packer,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,2014-08-01,13.88,22.38,34,760.92,1,7.61,760.91,15.10,776.01
5384-1,14/1/23,Mark Van Huff,"1 John Street,Waterloo",Sydney,NSW,Home Office,Charlie Bui,Not Specified,Binder Clips by OIC,Office Supplies,Wrap Bag,Regular Air,2014-01-25,0.93,1.48,27,39.96,0,0.00,39.96,0.70,40.66
6232-1,16/3/18,MaryBeth Skach,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,Yvette Biti,High,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2016-03-18,3.75,7.08,16,113.28,2,2.27,113.26,2.35,115.61
5398-1,14/2/3,Mathew Reese,"27 Greenfield Parade,Bankstown",Sydney,NSW,Small Business,Nicholas Fernandes,Critical,UGen Ultra Cordless Optical Suite,Technology,Small Box,Regular Air,2014-02-04,54.52,100.97,15,1514.55,8,121.16,1514.47,7.18,1521.65
6159-1,15/12/31,Matt Collister,"99 Glebe Point Rd,Glebe",Sydney,NSW,Home Office,Natasha Song,High,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,2016-01-01,4.53,7.30,38,277.40,5,13.87,277.35,7.72,285.07
6159-2,15/12/31,Matt Collister,"99 Glebe Point Rd,Glebe",Sydney,NSW,Home Office,Natasha Song,Medium,Artisan 487 Labels,Office Supplies,Small Box,Regular Air,2016-01-01,2.29,3.69,41,151.29,1,1.51,151.28,0.50,151.78
6159-2,15/12/31,Matt Collister,"99 Glebe Point Rd,Glebe",Sydney,NSW,Home Office,Natasha Song,High,DrawIt Colored Pencils,Office Supplies,Wrap Bag,Express Air,2016-01-01,4.37,9.11,21,191.31,3,5.74,191.28,2.25,193.53
5438-1,14/3/12,Matt Collister,"99 Glebe Point Rd,Glebe",Sydney,NSW,Home Office,Natasha Song,High,TechSavi Cordless Elite Duo,Technology,Small Box,Express Air,2014-03-13,60.59,100.98,5,504.90,2,10.10,504.88,7.18,512.06
6499-1,16/11/23,Matt Connell,"470 Anzac Parade,Kingsford",Sydney,NSW,Corporate,Tina Carlton,Critical,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2016-11-25,3.75,7.08,29,205.32,7,14.37,205.25,2.35,207.60
6342-1,16/6/30,Matthew Clasen,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Consumer,Nicholas Fernandes,Low,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,2016-07-02,13.88,22.38,9,201.42,3,6.04,201.39,15.10,216.49
6409-1,16/9/20,Matthew Clasen,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Consumer,Nicholas Fernandes,Low,"Wirebound Message Book, 4 per Page",Office Supplies,Wrap Bag,Regular Air,2016-09-20,3.48,5.43,12,65.16,1,0.65,65.15,0.95,66.10
5722-1,14/12/27,Matthew Grinstein,"105 Pitt St,Sydney",Sydney,NSW,Small Business,Charlie Bui,Critical,Artisan 479 Labels,Office Supplies,Small Box,Express Air,2014-12-28,1.59,2.61,37,96.57,9,8.69,96.48,0.50,96.98
5968-1,15/7/11,Matthew Grinstein,"105 Pitt St,Sydney",Sydney,NSW,Small Business,Charlie Bui,Medium,Smiths Pushpins,Office Supplies,Wrap Bag,Regular Air,2015-07-13,0.94,1.88,22,41.36,7,2.90,41.29,0.79,42.08
6506-1,16/11/28,Matthew Grinstein,"105 Pitt St,Sydney",Sydney,NSW,Small Business,Charlie Bui,Critical,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2016-11-29,1.94,3.08,18,55.44,2,1.11,55.42,0.99,56.41
